date,country,country_code,wiki,page_id,title,QID,pageviews
2017-02-09,Germany,DE,de.wikipedia,462657,Erneuerbare_Energien,Q12705,488
2017-02-09,United States of America,US,en.wikipedia,47515,Cloud,Q8074,476
2017-02-09,Mexico,MX,es.wikipedia,1404,HidrÃ³geno,Q556,518
2017-02-09,United States of America,US,en.wikipedia,24408,Polar_bear,Q33609,1545
2017-02-09,France,FR,fr.wikipedia,2760720,Ãnergie_renouvelable,Q12705,522
2017-02-09,India,IN,en.wikipedia,21350772,Greenhouse_gas,Q167336,471
2017-02-09,Brazil,BR,pt.wikipedia,396,AntÃ¡rtida,Q51,673
2017-02-09,Mexico,MX,es.wikipedia,15716,EnergÃ­a_renovable,Q12705,1032
2017-02-09,United States of America,US,en.wikipedia,47512,Climate_change,Q125928,1033
2017-02-09,United States of America,US,en.wikipedia,202898,Air,Q3230,1588
2017-02-09,Mexico,MX,es.wikipedia,91968,Cambio_climÃ¡tico,Q125928,1206
2017-02-09,United States of America,US,en.wikipedia,21350772,Greenhouse_gas,Q167336,1034
2017-02-09,Mexico,MX,es.wikipedia,3359,EnergÃ­a_eÃ³lica,Q43302,1333
2017-02-09,United Kingdom,GB,en.wikipedia,18959138,Antarctica,Q51,576
2017-02-09,France,FR,fr.wikipedia,3823265,HydrogÃ¨ne,Q556,506
2017-02-09,India,IN,en.wikipedia,50482,Flood,Q8068,1002
2017-02-09,United States of America,US,en.wikipedia,18959138,Antarctica,Q51,1943
2017-02-09,Ukraine,UA,uk.wikipedia,6658,ÐÐ½ÑÐ°ÑÐºÑÐ¸Ð´Ð°,Q51,821
2017-02-09,India,IN,mr.wikipedia,51566,à¤µà¤¾à¤¯à¥à¤ªà¥à¤°à¤¦à¥à¤·à¤£,Q131123,529
2017-02-09,Indonesia,ID,id.wikipedia,13141,Atmosfer_Bumi,Q3230,459
2017-02-09,United Kingdom,GB,en.wikipedia,78468,David_Attenborough,Q183337,756
2017-02-09,Poland,PL,pl.wikipedia,10968,Antarktyda,Q51,1615
2017-02-09,Poland,PL,pl.wikipedia,28086,NiedÅºwiedÅº_polarny,Q33609,613
2017-02-09,United States of America,US,en.wikipedia,277289,Wind_power,Q43302,563
2017-02-09,Germany,DE,de.wikipedia,5547,Wasserstoff,Q556,835
2017-02-09,India,IN,en.wikipedia,2119174,Effects_of_global_warming,Q1430548,519
2017-02-09,United States of America,US,en.wikipedia,18955875,Tree,Q10884,785
2017-02-09,Spain,ES,es.wikipedia,5154,AntÃ¡rtida,Q51,469
2017-02-09,Mexico,MX,es.wikipedia,9851,ContaminaciÃ³n_atmosfÃ©rica,Q131123,735
2017-02-09,France,FR,fr.wikipedia,3028510,Antarctique,Q51,621
2017-02-09,United States of America,US,en.wikipedia,13255,Hydrogen,Q556,2382
2017-02-09,India,IN,en.wikipedia,627,Agriculture,Q11451,840
2017-02-09,Mexico,MX,es.wikipedia,20,Agricultura,Q11451,541
2017-02-09,India,IN,en.wikipedia,18955875,Tree,Q10884,541
2017-02-09,United States of America,US,en.wikipedia,13690575,Solar_power,Q1483757,492
2017-02-09,United States of America,US,en.wikipedia,5042706,Al_Gore,Q19673,1393
2017-02-09,United States of America,US,en.wikipedia,10934212,Air_pollution,Q131123,920
2017-02-09,Ukraine,UA,ru.wikipedia,2868,ÐÐ½ÑÐ°ÑÐºÑÐ¸Ð´Ð°,Q51,705
2017-02-09,United States of America,US,en.wikipedia,36979,Rice,Q5090,799
2017-02-09,United States of America,US,en.wikipedia,627,Agriculture,Q11451,805
2017-02-09,Germany,DE,de.wikipedia,3357273,Reis,Q5090,701
2017-02-09,United States of America,US,en.wikipedia,26051975,Cattle,Q830,1083
2017-02-09,India,IN,en.wikipedia,10934212,Air_pollution,Q131123,2657
2017-02-09,Italy,IT,it.wikipedia,2869208,Antartide,Q51,553
2017-02-09,United States of America,US,en.wikipedia,78468,David_Attenborough,Q183337,582
2017-02-09,United States of America,US,en.wikipedia,30242372,Paris_Agreement,Q21707860,578
2017-02-09,Spain,ES,es.wikipedia,91968,Cambio_climÃ¡tico,Q125928,580
2017-02-09,United States of America,US,en.wikipedia,50482,Flood,Q8068,491
2017-02-09,India,IN,en.wikipedia,202898,Air,Q3230,520
2017-02-09,Germany,DE,de.wikipedia,27615,EisbÃ¤r,Q33609,822
2017-02-09,United States of America,US,en.wikipedia,286260,Precipitation,Q25257,604
2017-02-09,United States of America,US,en.wikipedia,33777,Whale,Q1865281,633
2017-02-09,United States of America,US,en.wikipedia,25784,Renewable_energy,Q12705,623
2017-02-09,United States of America,US,en.wikipedia,8282374,Hurricane,Q8092,995
2017-02-16,Philippines,PH,en.wikipedia,8282374,Hurricane,Q8092,480
2017-02-16,Colombia,CO,es.wikipedia,20,Agricultura,Q11451,705
2017-02-16,France,FR,fr.wikipedia,6524,Gaz_Ã _effet_de_serre,Q167336,456
2017-02-16,Germany,DE,de.wikipedia,462657,Erneuerbare_Energien,Q12705,827
2017-02-16,United States of America,US,en.wikipedia,47515,Cloud,Q8074,604
2017-02-16,Mexico,MX,es.wikipedia,1404,HidrÃ³geno,Q556,1226
2017-02-16,United States of America,US,en.wikipedia,24408,Polar_bear,Q33609,2622
2017-02-16,India,IN,en.wikipedia,36979,Rice,Q5090,596
2017-02-16,Colombia,CO,es.wikipedia,15716,EnergÃ­a_renovable,Q12705,640
2017-02-16,France,FR,fr.wikipedia,2760720,Ãnergie_renouvelable,Q12705,690
2017-02-16,India,IN,en.wikipedia,21350772,Greenhouse_gas,Q167336,878
2017-02-16,Philippines,PH,tl.wikipedia,1214,Agrikultura,Q11451,600
2017-02-16,Philippines,PH,en.wikipedia,202898,Air,Q3230,531
2017-02-16,Brazil,BR,pt.wikipedia,396,AntÃ¡rtida,Q51,811
2017-02-16,Mexico,MX,es.wikipedia,15716,EnergÃ­a_renovable,Q12705,1609
2017-02-16,Japan,JP,ja.wikipedia,18498,ã¦ã·,Q830,458
2017-02-16,United States of America,US,en.wikipedia,47512,Climate_change,Q125928,1271
2017-02-16,United States of America,US,en.wikipedia,202898,Air,Q3230,2512
2017-02-16,Mexico,MX,es.wikipedia,91968,Cambio_climÃ¡tico,Q125928,1620
2017-02-16,United States of America,US,en.wikipedia,21350772,Greenhouse_gas,Q167336,1671
2017-02-16,Mexico,MX,es.wikipedia,3359,EnergÃ­a_eÃ³lica,Q43302,1923
2017-02-16,United Kingdom,GB,en.wikipedia,18959138,Antarctica,Q51,586
2017-02-16,France,FR,fr.wikipedia,3823265,HydrogÃ¨ne,Q556,469
2017-02-16,India,IN,en.wikipedia,13255,Hydrogen,Q556,580
2017-02-16,Brazil,BR,pt.wikipedia,983,HidrogÃ©nio,Q556,476
2017-02-16,Germany,DE,de.wikipedia,28756,ErdatmosphÃ¤re,Q3230,529
2017-02-16,United States of America,US,en.wikipedia,2119174,Effects_of_global_warming,Q1430548,558
2017-02-16,India,IN,en.wikipedia,50482,Flood,Q8068,1266
2017-02-16,Japan,JP,ja.wikipedia,1282290,æ°´ç´ ,Q556,763
